psu_number,hh_number,prov,domain,ad_4,hhsize,hhs_wt,ind_wt,pcep_mo_real,pline_mo_real,oopg,oopg_pc_mo_real,raw_post_oopg_mo_real,post_oopg_mo_real_floored,negative_raw_post_oopg,pre_poverty_multiple,post_poverty_multiple,poor_pre_oopg,poor_post_oopg,pushed_below_poverty_oopg,rank_pre_oopg,cum_population_share,paasche,pcep,pline
4504,12,5,51,2,9.0,820.1616821289062,7381.455078125,2657.9775390625,6075.671223958333,0.0,0.0,2657.9775390625,2657.9775390625,False,0.43747883008896804,0.43747883008896804,True,True,False,36,0.3665985773033089,1.0553896324913101,31895.73046875,72908.0546875
4563,9,5,51,2,6.0,842.908447265625,5057.45068359375,2663.9523111979165,6075.671223958333,0.0,0.0,2663.9523111979165,2663.9523111979165,False,0.4384622230204117,0.4384622230204117,True,True,False,37,0.3841955226000428,0.9865243114835999,31967.427734375,72908.0546875
4139,4,2,21,2,4.0,701.7333984375,2806.93359375,2672.2428385416665,6075.671223958333,0.0,0.0,2672.2428385416665,2672.2428385416665,False,0.4398267681115052,0.4398267681115052,True,True,False,38,0.393961995867101,0.7584093609865513,32066.9140625,72908.0546875
4773,11,7,72,3,7.0,410.4152526855469,2872.90673828125,2687.4069010416665,6075.671223958333,0.0,0.0,2687.4069010416665,2687.4069010416665,False,0.4423226343197034,0.4423226343197034,True,True,False,39,0.40395801676358756,1.1930471875623396,32248.8828125,72908.0546875
4358,10,3,32,3,5.0,409.78070068359375,2048.903564453125,2687.6863606770835,6075.671223958333,450.0,81.64651396730373,2606.03984670978,2606.03984670978,False,0.4423686308236477,0.4289303602264262,True,True,False,40,0.41108699264444487,1.102312831580801,32252.236328125,72908.0546875
4337,10,3,31,2,5.0,403.7636413574219,2018.8182373046875,2690.17236328125,6075.671223958333,600.0,116.54053719639667,2573.6318260848534,2573.6318260848534,False,0.44277780414994017,0.4235962959839223,True,True,False,41,0.4181112893323279,1.0296846306600884,32282.068359375,72908.0546875
4445,4,4,41,2,3.0,798.9580688476562,2396.874267578125,2695.1451822916665,6075.671223958333,0.0,0.0,2695.1451822916665,2695.1451822916665,False,0.44359628474691637,0.44359628474691637,True,True,False,42,0.42645099801333286,0.9951126964029511,32341.7421875,72908.0546875
4756,11,7,71,2,7.0,629.2844848632812,4404.9912109375,2711.3639322916665,6075.671223958333,1200.0,184.46098789776897,2526.9029443938975,2526.9029443938975,False,0.446265742886133,0.4159051487890759,True,True,False,43,0.4417777691913328,0.9293486573083934,32536.3671875,72908.0546875
4445,11,4,41,2,5.0,798.9580688476562,3994.790283203125,2712.2957356770835,6075.671223958333,0.0,0.0,2712.2957356770835,2712.2957356770835,False,0.44641910921407757,0.44641910921407757,True,True,False,44,0.4556772830933643,1.007398033845388,32547.548828125,72908.0546875
4788,7,7,72,3,4.0,401.2020263671875,1604.80810546875,2715.8538411458335,6075.671223958333,490.0,120.03071005920756,2595.823131086626,2595.823131086626,False,0.44700474088136055,0.42724878213463185,True,True,False,45,0.4612610687218228,1.0205721514067059,32590.24609375,72908.0546875
4139,12,2,21,2,11.0,701.7333984375,7719.0673828125,2718.3943684895835,6075.671223958333,2500.0,263.34666502275974,2455.047703466824,2455.047703466824,False,0.4474228884818647,0.4040784323196716,True,True,False,46,0.48811887020623285,0.8630172979524355,32620.732421875,72908.0546875
4434,7,4,41,2,3.0,569.194091796875,1707.582275390625,2726.5388997395835,6075.671223958333,0.0,0.0,2726.5388997395835,2726.5388997395835,False,0.44876340394917363,0.44876340394917363,True,True,False,47,0.4940602493257954,0.9797435127978484,32718.466796875,72908.0546875
4564,10,5,51,2,6.0,937.5834350585938,5625.50048828125,2736.9697265625,6075.671223958333,2100.0,385.0833682635109,2351.886358298989,2351.886358298989,False,0.45048022278917016,0.38709901698181787,True,True,False,48,0.5136336728848548,0.9088940963051317,32843.63671875,72908.0546875
